n_estimators,criterion,max_depth,test_score,train_score,fit_time
41,mae,5,0.850758295731562,0.9153076551745258,[1.14209604 1.14145494 1.08435822 1.10385299 1.08494687]
42,mse,2,0.76833768475104,0.8038644026702434,[0.07623219 0.0814569  0.07731628 0.074368   0.07582331]
42,mse,3,0.8120191322833257,0.8630304943628337,[0.09197378 0.09464192 0.0909791  0.08913898 0.08942199]
42,mse,4,0.8400476656361231,0.8954262645135314,[0.10467291 0.11552382 0.10388303 0.14086723 0.15414023]
42,mse,5,0.8522001057765639,0.9144052180674808,[0.11613393 0.11497808 0.11787605 0.11817408 0.1144588 ]
42,mae,2,0.7377876601711977,0.7622730037893299,[0.70811009 0.66705894 0.67427778 0.64782214 0.63460708]
42,mae,3,0.8068817330137135,0.8425663281745628,[0.89481497 0.87326598 0.83166695 0.83173013 0.81488681]
42,mae,4,0.8367108896851008,0.8914579726311528,[1.04227376 1.02671099 0.96930695 0.98063898 0.96221113]
42,mae,5,0.8509288663951139,0.9154030132970938,[1.17114496 1.17098808 1.11556101 1.14575291 1.18301272]
43,mse,2,0.7682768089917851,0.8036256014300296,[0.08145308 0.07685924 0.08277774 0.07491708 0.07469821]
43,mse,3,0.8119516602167526,0.8631408307970135,[0.09358978 0.09294987 0.09018588 0.08995128 0.08898687]
43,mse,4,0.83967106151495,0.8956157116314072,[0.10587811 0.10484791 0.10320115 0.10277891 0.10287118]
43,mse,5,0.8521999571495906,0.9145912751167066,[0.12538791 0.12052226 0.12328601 0.11826873 0.11957097]
43,mae,2,0.7387656938992968,0.7627597503090865,[0.67536187 0.6418128  0.65179014 0.62770009 0.61838102]
43,mae,3,0.8071429413346441,0.8424351443594688,[0.87953997 0.87315202 0.82837391 0.82911801 0.83185005]
43,mae,4,0.836962582730297,0.8916908791352419,[1.05406713 1.05265689 0.99309897 1.00106025 0.98640394]
43,mae,5,0.8510713585915749,0.9155146543847252,[1.23322582 1.19159293 1.14895582 1.16616297 1.13524508]
44,mse,2,0.7679455378368298,0.8035410336215723,[0.07948518 0.07651091 0.07458997 0.07493114 0.07557368]
44,mse,3,0.8115586714899541,0.8630414351792947,[0.09247899 0.09298086 0.09122515 0.09250617 0.09356213]
44,mse,4,0.8396659998343757,0.8956227359807516,[0.11078906 0.11034489 0.10829425 0.10876703 0.10778403]
44,mse,5,0.8516407515763443,0.9145145568430768,[0.12153912 0.12126899 0.12025189 0.12119865 0.11971402]
44,mae,2,0.7384358948648113,0.7625099033149405,[0.69073677 0.66806412 0.66831207 0.66151309 0.66164303]
